V (V),QB vs Q (V),V (V),Q vs QB (V)
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.56E-9,55.56E-9,1.100
1.100,55.57E-9,55.57E-9,1.100
1.100,55.57E-9,55.57E-9,1.100
1.100,55.57E-9,55.57E-9,1.100
1.100,55.57E-9,55.57E-9,1.100
1.100,55.57E-9,55.57E-9,1.100
1.100,55.57E-9,55.57E-9,1.100
1.100,55.57E-9,55.57E-9,1.100
1.100,55.58E-9,55.58E-9,1.100
1.100,55.58E-9,55.58E-9,1.100
1.100,55.58E-9,55.58E-9,1.100
1.100,55.58E-9,55.58E-9,1.100
1.100,55.58E-9,55.58E-9,1.100
1.100,55.59E-9,55.59E-9,1.100
1.100,55.59E-9,55.59E-9,1.100
1.100,55.59E-9,55.59E-9,1.100
1.100,55.59E-9,55.59E-9,1.100
1.100,55.60E-9,55.60E-9,1.100
1.100,55.60E-9,55.60E-9,1.100
1.100,55.60E-9,55.60E-9,1.100
1.100,55.60E-9,55.60E-9,1.100
1.100,55.61E-9,55.61E-9,1.100
1.100,55.61E-9,55.61E-9,1.100
1.100,55.62E-9,55.62E-9,1.100
1.100,55.62E-9,55.62E-9,1.100
1.100,55.62E-9,55.62E-9,1.100
1.100,55.63E-9,55.63E-9,1.100
1.100,55.63E-9,55.63E-9,1.100
1.100,55.64E-9,55.64E-9,1.100
1.100,55.64E-9,55.64E-9,1.100
1.100,55.65E-9,55.65E-9,1.100
1.100,55.65E-9,55.65E-9,1.100
1.099,55.66E-9,55.66E-9,1.099
1.099,55.67E-9,55.67E-9,1.099
1.099,55.67E-9,55.67E-9,1.099
1.099,55.68E-9,55.68E-9,1.099
1.099,55.69E-9,55.69E-9,1.099
1.099,55.70E-9,55.70E-9,1.099
1.099,55.70E-9,55.70E-9,1.099
1.099,55.71E-9,55.71E-9,1.099
1.099,55.72E-9,55.72E-9,1.099
1.099,55.73E-9,55.73E-9,1.099
1.099,55.74E-9,55.74E-9,1.099
1.099,55.75E-9,55.75E-9,1.099
1.099,55.77E-9,55.77E-9,1.099
1.099,55.78E-9,55.78E-9,1.099
1.099,55.79E-9,55.79E-9,1.099
1.099,55.80E-9,55.80E-9,1.099
1.099,55.82E-9,55.82E-9,1.099
1.099,55.83E-9,55.83E-9,1.099
1.099,55.85E-9,55.85E-9,1.099
1.099,55.87E-9,55.87E-9,1.099
1.099,55.88E-9,55.88E-9,1.099
1.098,55.90E-9,55.90E-9,1.098
1.098,55.92E-9,55.92E-9,1.098
1.098,55.94E-9,55.94E-9,1.098
1.098,55.96E-9,55.96E-9,1.098
1.098,55.99E-9,55.99E-9,1.098
1.098,56.01E-9,56.01E-9,1.098
1.098,56.04E-9,56.04E-9,1.098
1.098,56.07E-9,56.07E-9,1.098
1.098,56.09E-9,56.09E-9,1.098
1.098,56.12E-9,56.12E-9,1.098
1.097,56.16E-9,56.16E-9,1.097
1.097,56.19E-9,56.19E-9,1.097
1.097,56.23E-9,56.23E-9,1.097
1.097,56.26E-9,56.26E-9,1.097
1.097,56.30E-9,56.30E-9,1.097
1.097,56.35E-9,56.35E-9,1.097
1.096,56.39E-9,56.39E-9,1.096
1.096,56.44E-9,56.44E-9,1.096
1.096,56.49E-9,56.49E-9,1.096
1.096,56.54E-9,56.54E-9,1.096
1.096,56.60E-9,56.60E-9,1.096
1.095,56.66E-9,56.66E-9,1.095
1.095,56.72E-9,56.72E-9,1.095
1.095,56.79E-9,56.79E-9,1.095
1.095,56.86E-9,56.86E-9,1.095
1.094,56.94E-9,56.94E-9,1.094
1.094,57.02E-9,57.02E-9,1.094
1.094,57.11E-9,57.11E-9,1.094
1.093,57.20E-9,57.20E-9,1.093
1.093,57.30E-9,57.30E-9,1.093
1.093,57.41E-9,57.41E-9,1.093
1.092,57.53E-9,57.53E-9,1.092
1.092,57.65E-9,57.65E-9,1.092
1.091,57.78E-9,57.78E-9,1.091
1.091,57.92E-9,57.92E-9,1.091
1.090,58.08E-9,58.08E-9,1.090
1.090,58.24E-9,58.24E-9,1.090
1.089,58.42E-9,58.42E-9,1.089
1.089,58.61E-9,58.61E-9,1.089
1.088,58.82E-9,58.82E-9,1.088
1.087,59.04E-9,59.04E-9,1.087
1.087,59.29E-9,59.29E-9,1.087
1.086,59.56E-9,59.56E-9,1.086
1.085,59.85E-9,59.85E-9,1.085
1.084,60.17E-9,60.17E-9,1.084
1.083,60.52E-9,60.52E-9,1.083
1.082,60.91E-9,60.91E-9,1.082
1.081,61.34E-9,61.34E-9,1.081
1.080,61.82E-9,61.82E-9,1.080
1.079,62.35E-9,62.35E-9,1.079
1.078,62.95E-9,62.95E-9,1.078
1.077,63.62E-9,63.62E-9,1.077
1.075,64.38E-9,64.38E-9,1.075
1.073,65.25E-9,65.25E-9,1.073
1.072,66.24E-9,66.24E-9,1.072
1.070,67.39E-9,67.39E-9,1.070
1.068,68.73E-9,68.73E-9,1.068
1.066,70.30E-9,70.30E-9,1.066
1.063,72.18E-9,72.18E-9,1.063
1.060,74.44E-9,74.44E-9,1.060
1.057,77.20E-9,77.20E-9,1.057
1.054,80.65E-9,80.65E-9,1.054
1.050,85.04E-9,85.04E-9,1.050
1.046,90.78E-9,90.78E-9,1.046
1.041,98.51E-9,98.51E-9,1.041
1.035,109.3E-9,109.3E-9,1.035
1.029,125.3E-9,125.3E-9,1.029
1.020,150.2E-9,150.2E-9,1.020
1.010,192.1E-9,192.1E-9,1.010
997.5E-3,269.1E-9,269.1E-9,997.5E-3
981.8E-3,425.7E-9,425.7E-9,981.8E-3
962.3E-3,777.6E-9,777.6E-9,962.3E-3
939.0E-3,1.644E-6,1.644E-6,939.0E-3
912.3E-3,3.939E-6,3.939E-6,912.3E-3
882.4E-3,10.36E-6,10.36E-6,882.4E-3
849.8E-3,28.88E-6,28.88E-6,849.8E-3
814.9E-3,82.48E-6,82.48E-6,814.9E-3
778.2E-3,235.0E-6,235.0E-6,778.2E-3
739.8E-3,660.3E-6,660.3E-6,739.8E-3
700.3E-3,1.850E-3,1.850E-3,700.3E-3
660.0E-3,5.293E-3,5.293E-3,660.0E-3
619.3E-3,16.31E-3,16.31E-3,619.3E-3
578.7E-3,78.37E-3,78.37E-3,578.7E-3
538.5E-3,689.5E-3,689.5E-3,538.5E-3
499.1E-3,1.059,1.059,499.1E-3
460.7E-3,1.087,1.087,460.7E-3
423.6E-3,1.095,1.095,423.6E-3
387.8E-3,1.098,1.098,387.8E-3
353.6E-3,1.099,1.099,353.6E-3
320.8E-3,1.100,1.100,320.8E-3
289.6E-3,1.100,1.100,289.6E-3
260.0E-3,1.100,1.100,260.0E-3
231.8E-3,1.100,1.100,231.8E-3
205.0E-3,1.100,1.100,205.0E-3
179.8E-3,1.100,1.100,179.8E-3
155.9E-3,1.100,1.100,155.9E-3
133.8E-3,1.100,1.100,133.8E-3
113.7E-3,1.100,1.100,113.7E-3
96.43E-3,1.100,1.100,96.43E-3
82.54E-3,1.100,1.100,82.54E-3
71.89E-3,1.100,1.100,71.89E-3
63.68E-3,1.100,1.100,63.68E-3
57.18E-3,1.100,1.100,57.18E-3
51.84E-3,1.100,1.100,51.84E-3
47.36E-3,1.100,1.100,47.36E-3
43.51E-3,1.100,1.100,43.51E-3
40.14E-3,1.100,1.100,40.14E-3
37.17E-3,1.100,1.100,37.17E-3
34.52E-3,1.100,1.100,34.52E-3
32.13E-3,1.100,1.100,32.13E-3
29.97E-3,1.100,1.100,29.97E-3
28.01E-3,1.100,1.100,28.01E-3
26.21E-3,1.100,1.100,26.21E-3
24.56E-3,1.100,1.100,24.56E-3
23.04E-3,1.100,1.100,23.04E-3
21.63E-3,1.100,1.100,21.63E-3
20.33E-3,1.100,1.100,20.33E-3
19.13E-3,1.100,1.100,19.13E-3
18.00E-3,1.100,1.100,18.00E-3
16.96E-3,1.100,1.100,16.96E-3
15.99E-3,1.100,1.100,15.99E-3
15.08E-3,1.100,1.100,15.08E-3
14.23E-3,1.100,1.100,14.23E-3
13.43E-3,1.100,1.100,13.43E-3
12.68E-3,1.100,1.100,12.68E-3
11.98E-3,1.100,1.100,11.98E-3
11.33E-3,1.100,1.100,11.33E-3
10.71E-3,1.100,1.100,10.71E-3
10.13E-3,1.100,1.100,10.13E-3
9.583E-3,1.100,1.100,9.583E-3
9.069E-3,1.100,1.100,9.069E-3
8.585E-3,1.100,1.100,8.585E-3
8.128E-3,1.100,1.100,8.128E-3
7.698E-3,1.100,1.100,7.698E-3
7.292E-3,1.100,1.100,7.292E-3
6.909E-3,1.100,1.100,6.909E-3
6.547E-3,1.100,1.100,6.547E-3
6.206E-3,1.100,1.100,6.206E-3
5.883E-3,1.100,1.100,5.883E-3
5.578E-3,1.100,1.100,5.578E-3
5.289E-3,1.100,1.100,5.289E-3
5.016E-3,1.100,1.100,5.016E-3
4.758E-3,1.100,1.100,4.758E-3
4.514E-3,1.100,1.100,4.514E-3
4.282E-3,1.100,1.100,4.282E-3
4.063E-3,1.100,1.100,4.063E-3
3.856E-3,1.100,1.100,3.856E-3
3.659E-3,1.100,1.100,3.659E-3
3.473E-3,1.100,1.100,3.473E-3
3.297E-3,1.100,1.100,3.297E-3
3.129E-3,1.100,1.100,3.129E-3
2.971E-3,1.100,1.100,2.971E-3
2.820E-3,1.100,1.100,2.820E-3
2.677E-3,1.100,1.100,2.677E-3
2.542E-3,1.100,1.100,2.542E-3
2.414E-3,1.100,1.100,2.414E-3
2.292E-3,1.100,1.100,2.292E-3
2.176E-3,1.100,1.100,2.176E-3
2.066E-3,1.100,1.100,2.066E-3
1.962E-3,1.100,1.100,1.962E-3
1.863E-3,1.100,1.100,1.863E-3
1.769E-3,1.100,1.100,1.769E-3
1.680E-3,1.100,1.100,1.680E-3
1.595E-3,1.100,1.100,1.595E-3
1.515E-3,1.100,1.100,1.515E-3
1.438E-3,1.100,1.100,1.438E-3
1.366E-3,1.100,1.100,1.366E-3
1.297E-3,1.100,1.100,1.297E-3
1.231E-3,1.100,1.100,1.231E-3
1.169E-3,1.100,1.100,1.169E-3
1.110E-3,1.100,1.100,1.110E-3
1.054E-3,1.100,1.100,1.054E-3
1.000E-3,1.100,1.100,1.000E-3
949.3E-6,1.100,1.100,949.3E-6
901.1E-6,1.100,1.100,901.1E-6
855.2E-6,1.100,1.100,855.2E-6
811.6E-6,1.100,1.100,811.6E-6
770.2E-6,1.100,1.100,770.2E-6
730.8E-6,1.100,1.100,730.8E-6
693.4E-6,1.100,1.100,693.4E-6
657.8E-6,1.100,1.100,657.8E-6
624.0E-6,1.100,1.100,624.0E-6
591.9E-6,1.100,1.100,591.9E-6
561.4E-6,1.100,1.100,561.4E-6
532.3E-6,1.100,1.100,532.3E-6
504.8E-6,1.100,1.100,504.8E-6
478.6E-6,1.100,1.100,478.6E-6
453.7E-6,1.100,1.100,453.7E-6
430.0E-6,1.100,1.100,430.0E-6
407.5E-6,1.100,1.100,407.5E-6
386.2E-6,1.100,1.100,386.2E-6
365.9E-6,1.100,1.100,365.9E-6
346.6E-6,1.100,1.100,346.6E-6
328.3E-6,1.100,1.100,328.3E-6
311.0E-6,1.100,1.100,311.0E-6
294.5E-6,1.100,1.100,294.5E-6
278.8E-6,1.100,1.100,278.8E-6
263.9E-6,1.100,1.100,263.9E-6
249.8E-6,1.100,1.100,249.8E-6
236.4E-6,1.100,1.100,236.4E-6
223.6E-6,1.100,1.100,223.6E-6
211.6E-6,1.100,1.100,211.6E-6
200.1E-6,1.100,1.100,200.1E-6
189.2E-6,1.100,1.100,189.2E-6
178.9E-6,1.100,1.100,178.9E-6
169.2E-6,1.100,1.100,169.2E-6
159.9E-6,1.100,1.100,159.9E-6
151.1E-6,1.100,1.100,151.1E-6
142.8E-6,1.100,1.100,142.8E-6
134.9E-6,1.100,1.100,134.9E-6
127.4E-6,1.100,1.100,127.4E-6
120.3E-6,1.100,1.100,120.3E-6
113.6E-6,1.100,1.100,113.6E-6
107.2E-6,1.100,1.100,107.2E-6
101.2E-6,1.100,1.100,101.2E-6
95.49E-6,1.100,1.100,95.49E-6
90.09E-6,1.100,1.100,90.09E-6
84.98E-6,1.100,1.100,84.98E-6
80.14E-6,1.100,1.100,80.14E-6
75.57E-6,1.100,1.100,75.57E-6
71.24E-6,1.100,1.100,71.24E-6
67.15E-6,1.100,1.100,67.15E-6
63.29E-6,1.100,1.100,63.29E-6
59.63E-6,1.100,1.100,59.63E-6
56.18E-6,1.100,1.100,56.18E-6
52.91E-6,1.100,1.100,52.91E-6
49.83E-6,1.100,1.100,49.83E-6
46.92E-6,1.100,1.100,46.92E-6
44.17E-6,1.100,1.100,44.17E-6
41.57E-6,1.100,1.100,41.57E-6
39.12E-6,1.100,1.100,39.12E-6
36.81E-6,1.100,1.100,36.81E-6
34.63E-6,1.100,1.100,34.63E-6
32.57E-6,1.100,1.100,32.57E-6
30.63E-6,1.100,1.100,30.63E-6
28.80E-6,1.100,1.100,28.80E-6
27.08E-6,1.100,1.100,27.08E-6
25.45E-6,1.100,1.100,25.45E-6
23.92E-6,1.100,1.100,23.92E-6
22.48E-6,1.100,1.100,22.48E-6
21.12E-6,1.100,1.100,21.12E-6
19.84E-6,1.100,1.100,19.84E-6
18.64E-6,1.100,1.100,18.64E-6
17.50E-6,1.100,1.100,17.50E-6
16.44E-6,1.100,1.100,16.44E-6
15.43E-6,1.100,1.100,15.43E-6
14.49E-6,1.100,1.100,14.49E-6
13.60E-6,1.100,1.100,13.60E-6
12.76E-6,1.100,1.100,12.76E-6
11.98E-6,1.100,1.100,11.98E-6
11.24E-6,1.100,1.100,11.24E-6
10.55E-6,1.100,1.100,10.55E-6
9.895E-6,1.100,1.100,9.895E-6
9.283E-6,1.100,1.100,9.283E-6
8.707E-6,1.100,1.100,8.707E-6
8.167E-6,1.100,1.100,8.167E-6
7.659E-6,1.100,1.100,7.659E-6
7.183E-6,1.100,1.100,7.183E-6
6.735E-6,1.100,1.100,6.735E-6
6.315E-6,1.100,1.100,6.315E-6
5.921E-6,1.100,1.100,5.921E-6
5.552E-6,1.100,1.100,5.552E-6
5.205E-6,1.100,1.100,5.205E-6
4.879E-6,1.100,1.100,4.879E-6
4.574E-6,1.100,1.100,4.574E-6
4.288E-6,1.100,1.100,4.288E-6
4.020E-6,1.100,1.100,4.020E-6
3.768E-6,1.100,1.100,3.768E-6
3.532E-6,1.100,1.100,3.532E-6
3.311E-6,1.100,1.100,3.311E-6
3.104E-6,1.100,1.100,3.104E-6
2.910E-6,1.100,1.100,2.910E-6
2.728E-6,1.100,1.100,2.728E-6
2.558E-6,1.100,1.100,2.558E-6
2.398E-6,1.100,1.100,2.398E-6
2.249E-6,1.100,1.100,2.249E-6
2.109E-6,1.100,1.100,2.109E-6
1.978E-6,1.100,1.100,1.978E-6
1.855E-6,1.100,1.100,1.855E-6
1.740E-6,1.100,1.100,1.740E-6
1.633E-6,1.100,1.100,1.633E-6
1.532E-6,1.100,1.100,1.532E-6
1.438E-6,1.100,1.100,1.438E-6
1.349E-6,1.100,1.100,1.349E-6
1.267E-6,1.100,1.100,1.267E-6
1.190E-6,1.100,1.100,1.190E-6
1.117E-6,1.100,1.100,1.117E-6
1.050E-6,1.100,1.100,1.050E-6
986.4E-9,1.100,1.100,986.4E-9
927.2E-9,1.100,1.100,927.2E-9
871.9E-9,1.100,1.100,871.9E-9
820.1E-9,1.100,1.100,820.1E-9
771.6E-9,1.100,1.100,771.6E-9
726.3E-9,1.100,1.100,726.3E-9
683.9E-9,1.100,1.100,683.9E-9
644.3E-9,1.100,1.100,644.3E-9
607.3E-9,1.100,1.100,607.3E-9
572.6E-9,1.100,1.100,572.6E-9
540.2E-9,1.100,1.100,540.2E-9
509.9E-9,1.100,1.100,509.9E-9
481.6E-9,1.100,1.100,481.6E-9
455.1E-9,1.100,1.100,455.1E-9
430.3E-9,1.100,1.100,430.3E-9
407.2E-9,1.100,1.100,407.2E-9
385.6E-9,1.100,1.100,385.6E-9
365.3E-9,1.100,1.100,365.3E-9
346.4E-9,1.100,1.100,346.4E-9
328.7E-9,1.100,1.100,328.7E-9
312.2E-9,1.100,1.100,312.2E-9
296.8E-9,1.100,1.100,296.8E-9
282.3E-9,1.100,1.100,282.3E-9
268.8E-9,1.100,1.100,268.8E-9
256.2E-9,1.100,1.100,256.2E-9
244.4E-9,1.100,1.100,244.4E-9
233.4E-9,1.100,1.100,233.4E-9
223.1E-9,1.100,1.100,223.1E-9
213.5E-9,1.100,1.100,213.5E-9
204.5E-9,1.100,1.100,204.5E-9
196.0E-9,1.100,1.100,196.0E-9
188.2E-9,1.100,1.100,188.2E-9
180.8E-9,1.100,1.100,180.8E-9
173.9E-9,1.100,1.100,173.9E-9
167.5E-9,1.100,1.100,167.5E-9
161.5E-9,1.100,1.100,161.5E-9
155.9E-9,1.100,1.100,155.9E-9
150.6E-9,1.100,1.100,150.6E-9
145.7E-9,1.100,1.100,145.7E-9
141.1E-9,1.100,1.100,141.1E-9
136.8E-9,1.100,1.100,136.8E-9
132.8E-9,1.100,1.100,132.8E-9
129.0E-9,1.100,1.100,129.0E-9
125.5E-9,1.100,1.100,125.5E-9
122.2E-9,1.100,1.100,122.2E-9
119.2E-9,1.100,1.100,119.2E-9
116.3E-9,1.100,1.100,116.3E-9
113.6E-9,1.100,1.100,113.6E-9
111.1E-9,1.100,1.100,111.1E-9
108.7E-9,1.100,1.100,108.7E-9
106.5E-9,1.100,1.100,106.5E-9
104.5E-9,1.100,1.100,104.5E-9
102.5E-9,1.100,1.100,102.5E-9
100.7E-9,1.100,1.100,100.7E-9
99.05E-9,1.100,1.100,99.05E-9
97.46E-9,1.100,1.100,97.46E-9
95.98E-9,1.100,1.100,95.98E-9
94.59E-9,1.100,1.100,94.59E-9
93.29E-9,1.100,1.100,93.29E-9
92.07E-9,1.100,1.100,92.07E-9
90.93E-9,1.100,1.100,90.93E-9
89.86E-9,1.100,1.100,89.86E-9
88.86E-9,1.100,1.100,88.86E-9
87.92E-9,1.100,1.100,87.92E-9
87.04E-9,1.100,1.100,87.04E-9
86.21E-9,1.100,1.100,86.21E-9
85.44E-9,1.100,1.100,85.44E-9
84.71E-9,1.100,1.100,84.71E-9
84.03E-9,1.100,1.100,84.03E-9
83.39E-9,1.100,1.100,83.39E-9
82.79E-9,1.100,1.100,82.79E-9
82.22E-9,1.100,1.100,82.22E-9
81.69E-9,1.100,1.100,81.69E-9
